"termo","blup","blup_sd","blup_025","blup_975","trait","individuo"
"traitmassa_fruto_g.animal.10",-5.92361914738119,12.8265010355144,-38.5557554632846,15.5724384778398,"massa_fruto_g","10"
"traitmassa_fruto_g.animal.100",-8.41633983413441,13.4347077451041,-43.0618782028464,12.2682839249659,"massa_fruto_g","100"
"traitmassa_fruto_g.animal.101",3.41320394454976,13.0674642974267,-18.6850406974593,34.9509107931968,"massa_fruto_g","101"
"traitmassa_fruto_g.animal.103",-15.7299116983018,24.3679434931802,-79.2045535063038,10.5020833657013,"massa_fruto_g","103"
"traitmassa_fruto_g.animal.11",-8.77456900386001,14.3507271930724,-46.7937196814656,10.8371764415619,"massa_fruto_g","11"
"traitmassa_fruto_g.animal.110",-1.18187769999173,12.2143494550319,-31.0335090714083,22.9633377159435,"massa_fruto_g","110"
"traitmassa_fruto_g.animal.115",3.93960838912467,13.7788746174897,-18.0678873596913,37.8971534975827,"massa_fruto_g","115"
"traitmassa_fruto_g.animal.118",1.92299431646468,12.867788627582,-21.4117527965784,31.0086413329267,"massa_fruto_g","118"
"traitmassa_fruto_g.animal.12",-6.36341089516175,13.381033404512,-40.357624170237,16.4174654098798,"massa_fruto_g","12"
"traitmassa_fruto_g.animal.122",-7.88833056282297,13.382122660519,-42.3158629721794,12.1830448875375,"massa_fruto_g","122"
"traitmassa_fruto_g.animal.124",-6.74553742300792,13.1341774504783,-40.0242810740893,14.676563158332,"massa_fruto_g","124"
"traitmassa_fruto_g.animal.128",-8.90400090036151,13.5128800148822,-42.6890377319186,11.1664298846971,"massa_fruto_g","128"
"traitmassa_fruto_g.animal.13",8.67971318092805,18.2761674384349,-14.6583258395737,58.7832246413247,"massa_fruto_g","13"
"traitmassa_fruto_g.animal.130",-2.34454058991493,12.2211043014901,-27.1026568279611,24.9575546030396,"massa_fruto_g","130"
"traitmassa_fruto_g.animal.131",-0.965955025883509,11.9094939068932,-23.9840075843411,25.0524486915316,"massa_fruto_g","131"
"traitmassa_fruto_g.animal.132",-2.79060183453998,12.1463104496101,-31.1136333584931,20.1081931848263,"massa_fruto_g","132"
"traitmassa_fruto_g.animal.133",-3.84269570850556,12.2590591840626,-33.3490268626353,19.7270969580549,"massa_fruto_g","133"
"traitmassa_fruto_g.animal.134",-4.22009721898447,12.9278546567703,-35.9467616719102,20.0897878007356,"massa_fruto_g","134"
"traitmassa_fruto_g.animal.135",-5.55331177707656,12.8863757743816,-36.927475254822,16.7453352755808,"massa_fruto_g","135"
"traitmassa_fruto_g.animal.136",-4.21858704434065,12.2305278085696,-30.9872819234831,18.8052558262772,"massa_fruto_g","136"
"traitmassa_fruto_g.animal.138",-10.1182236948997,14.8957059116667,-51.1978265939207,9.6694044310063,"massa_fruto_g","138"
"traitmassa_fruto_g.animal.140",0.101954788668519,12.5279862745589,-23.2260770058931,31.2152864804022,"massa_fruto_g","140"
"traitmassa_fruto_g.animal.148",0.861941534041229,12.4839970126876,-25.5162873238556,28.5417577020145,"massa_fruto_g","148"
"traitmassa_fruto_g.animal.149",2.04739025972702,12.3617844327008,-23.1880880740674,31.4451268901741,"massa_fruto_g","149"
"traitmassa_fruto_g.animal.15",-9.44004297982321,14.6369584753815,-48.1380228499576,9.79822233877726,"massa_fruto_g","15"
"traitmassa_fruto_g.animal.150",3.2181377167106,12.990473648405,-18.8561113550821,35.1067721000723,"massa_fruto_g","150"
"traitmassa_fruto_g.animal.152",-5.42359981456171,14.3542600777797,-43.0571042308294,16.6149706543653,"massa_fruto_g","152"
"traitmassa_fruto_g.animal.154",5.38972370037634,14.461606219272,-16.3774707244684,44.2840555264236,"massa_fruto_g","154"
"traitmassa_fruto_g.animal.157",-1.6699600597483,12.3830121779263,-31.1911320140882,23.5966021514334,"massa_fruto_g","157"
"traitmassa_fruto_g.animal.16",-8.80350701658561,13.9731456509289,-46.1502711730492,11.0152015152653,"massa_fruto_g","16"
"traitmassa_fruto_g.animal.161",6.22111673377372,12.6786189713916,-14.7224934190409,37.370289129002,"massa_fruto_g","161"
"traitmassa_fruto_g.animal.162",-3.81714822039532,14.1723487885761,-43.489735218613,17.0888786986133,"massa_fruto_g","162"
"traitmassa_fruto_g.animal.166",10.1814751141545,15.6252691883528,-9.79936733618293,51.4501618954352,"massa_fruto_g","166"
"traitmassa_fruto_g.animal.167",13.7435128821058,17.6791900334681,-8.07140917897123,61.170940693494,"massa_fruto_g","167"
"traitmassa_fruto_g.animal.17",-2.25173080789371,12.098280343489,-27.5020392739042,26.8395967024942,"massa_fruto_g","17"
"traitmassa_fruto_g.animal.170",14.2799180400181,19.1092732480586,-8.57822516649299,66.0429125104323,"massa_fruto_g","170"
"traitmassa_fruto_g.animal.172",2.72475174044633,12.134350150026,-25.2743559959604,28.7337570416835,"massa_fruto_g","172"
"traitmassa_fruto_g.animal.175",9.81555203502167,15.5810216054741,-11.4212571604843,51.2668237080056,"massa_fruto_g","175"
"traitmassa_fruto_g.animal.177",-3.50900002064904,14.499043540405,-43.9363903776925,18.9894270041285,"massa_fruto_g","177"
"traitmassa_fruto_g.animal.178",0.709855583589479,12.425683704282,-29.4175876094704,24.6653435922081,"massa_fruto_g","178"
"traitmassa_fruto_g.animal.18",-3.6869185828441,12.0287131202762,-31.0056235923698,21.8860280206425,"massa_fruto_g","18"
"traitmassa_fruto_g.animal.181",4.67048415295693,14.2823892176767,-18.243833065236,42.6660813044043,"massa_fruto_g","181"
