"individuo","mu_max","t_pico","slope_up","slope_down","t_surv_obs","evento","area_beta","estab","taxa_final","prop_acima","n_aval","familia","mu_max_sc","t_pico_sc","slope_up_sc","area_beta_sc","estab_sc","t_surv_sc","prop_acima_sc","BDSIP"
114,2,154,0.00274725274725274,0.00111801242236025,476,0,100.508333333333,0.240336134453782,2,0,35,NA,-0.861930692964181,-0.366474683396345,-0.651462821541125,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.679021793972287
115,2,238,0.0012531328320802,-2.42760816397488e-18,476,0,81.8976666666667,0.257142857142857,2,0,35,"3",-0.861930692964181,0.352379503265717,-0.973155532734956,-1.21677738363771,-0.487686768554189,-0.715109849896159,-0.597738453182839,-0.850932045557438
118,3,210,0.00514705882352941,2.89435962462217e-18,210,1,196.161,0.89572192513369,3,0.558823529411765,34,"3",0.906513315014053,0.112761441045029,-0.134770610174864,2.74577426914659,3.59845703339365,1.13696732148439,3.77757392788545,1.65058826577276
121,3,210,0.00735294117647059,-0.0027389903329753,210,1,142.424333333333,0.280672268907563,2,0.0857142857142857,35,NA,0.906513315014053,0.112761441045029,0.340168695222405,0.882234049346255,-0.337126618895146,1.13696732148439,0.0733620924847785,0.58575135243439
122,3,126,0.00779220779220779,-0.00112332112332112,126,1,128.452333333333,0.282352941176471,2,0.0571428571428571,35,"1",0.906513315014053,-0.606092745617032,0.434745353440043,0.397697408609633,-0.326372322490929,1.72183379665719,-0.150338089404427,0.626883510245998
124,2,154,0.00274725274725274,0.00124223602484472,476,0,100.508333333333,0.240336134453782,2,0,35,"1",-0.861930692964181,-0.366474683396345,-0.651462821541125,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.679021793972287
128,2,56,0.0142857142857143,0.000576036866359449,476,0,133.077,0.146218487394958,2,0,35,"1",-0.861930692964181,-1.20513790116875,1.83283508361382,0.55807677099106,-1.19747033123253,-0.715109849896159,-0.597738453182839,-0.0767198038975972
130,2,168,0.00235478806907378,0.000635234330886503,476,0,100.508333333333,0.240336134453782,2,0,35,"1",-0.861930692964181,-0.246665652286001,-0.735962750287891,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.695921779721641
131,2,140,0.00324675324675324,0.00148351648351648,476,0,100.508333333333,0.240336134453782,2,0,35,"1",-0.861930692964181,-0.486283714506689,-0.543917457681603,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.657512721200383
132,3,210,0.00745798319327731,-0.0033297529538131,210,1,133.133,0.381512605042017,2,0.114285714285714,35,"1",0.906513315014053,0.112761441045029,0.362784852622275,0.560018801615255,0.308131165357891,1.13696732148439,0.297062274373984,0.654883091218772
133,3,154,0.0117382617382617,0.000403726708074533,154,1,128.438333333333,0.223529411764706,2,0.0285714285714286,35,"1",0.906513315014053,-0.366474683396345,1.28435372793026,0.397211900953585,-0.702772696638534,1.52687830493292,-0.374038271293633,0.682436910438458
134,2,98,0.00595238095238095,0.000586441473140983,476,0,119.119,0.196638655462185,2,0,35,"1",-0.861930692964181,-0.845710807837719,0.0386199298908044,0.0740256379104871,-0.874841439106011,-0.715109849896159,-0.597738453182839,-0.467847282833012
135,3,364,0.00422989708703995,-0.00238095238095238,364,1,126.161,0.458823529411765,3,0.142857142857143,35,"1",0.906513315014053,1.43066078325881,-0.332240868497782,0.318235988902993,0.802828799951887,0.0647121170009125,0.52076245626319,0.352009870474413
136,3,98,0.0119047619047619,0.00156384392837595,98,1,154.119,0.499159663865546,3,0.228571428571429,35,"1",0.906513315014053,-0.845710807837719,1.3202021825501,1.28779477803229,1.0609319136531,1.91678928838146,1.19186300193081,1.2984462955262
138,3,462,0.00316013590540269,5.37307164816435e-17,462,1,112.161,0.34280303030303,3,0.0606060606060606,33,"1",0.906513315014053,2.26932400103121,-0.562566675252767,-0.167271667145726,0.0604360923054545,-0.617632104034025,-0.123222915842099,-0.0761042078226023
140,3,84,0.0153061224489796,0.00179291233840529,84,1,142.466333333333,0.470588235294118,3,0.176470588235294,34,"1",0.906513315014053,-0.965519838948063,2.05253489835542,0.883690572314401,0.878108874781408,2.01426703424359,0.783939140838726,1.34702293894177
141,2,98,0.00595238095238095,0.000957854406130271,476,0,114.466333333333,0.210084033613445,2,0,35,NA,-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.0873247397830371,-0.788807067872273,-0.715109849896159,-0.597738453182839,-0.482910484124969
143,3,98,0.016156462585034,-0.000351864883884586,98,1,168.091,0.467226890756303,3,0.257142857142857,35,NA,0.906513315014053,-0.845710807837719,2.23561807730674,1.77233141876891,0.856600281972973,1.91678928838146,1.41556318382001,1.53757047628883
145,2,98,0.00595238095238095,0.00189616076315584,476,0,105.161,0.231932773109244,2,0,35,NA,-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.519489464551414
