"trait","individuo","blup","blup_z","blup_dir","blup_sd","var_pred","precisao","peso_combinado"
"comp_mm",61,2.12011534262343,1.62297522669822,1.62297522669822,3.99797052687078,15.9837683337274,0.0625634693346935,0.00279283327110072
"comp_mm",62,1.38878881245165,1.07607124859069,1.07607124859069,3.99297687387878,15.9438643153308,0.062720052066578,0.00279982312425204
"comp_mm",70,0.460601754860938,0.381950123099653,0.381950123099653,3.95796535192231,15.6654897270175,0.0638345827309407,0.00284957577310919
"comp_mm",76,1.24707918748763,0.970097303394488,0.970097303394488,3.96929107250272,15.7552716182498,0.0634708194330125,0.00283333737948968
"comp_mm",81,0.0232859192009485,0.0549145783127161,0.0549145783127161,3.95798343661435,15.6656328845135,0.0638339993903829,0.00284954973278669
"comp_mm",82,0.00875584585199056,0.0440486318593954,0.0440486318593954,3.85618531747375,14.8701652027001,0.0672487485087536,0.00300198413343076
"comp_mm",83,-1.25485604369296,-0.900911438184536,-0.900911438184536,4.14887556128907,17.2131684230617,0.0580950569600092,0.00259336334269481
"comp_mm",84,-1.25746468203214,-0.902862242136372,-0.902862242136372,4.15279272711031,17.2456874343403,0.0579855110912402,0.00258847321511296
"comp_mm",86,-1.85237044556563,-1.347747413469,-1.347747413469,3.92483532016966,15.4043322904513,0.0649168026984118,0.0028978860724571
"comp_mm",87,-1.48543329101726,-1.0733427785232,-1.0733427785232,4.1653679204769,17.3502899129381,0.0576359245302468,0.00257286767103022
"comp_mm",88,-2.5321223826024,-1.85608264151602,-1.85608264151602,3.9766006233147,15.8133525173469,0.0632376973132689,0.00282293080806432
"comp_mm",89,-1.4492373524391,-1.0462745648279,-1.0462745648279,4.16181525629991,17.3207062275707,0.0577343664202458,0.00257726211699977
"comp_mm",9,-1.3206244475199,-0.950094669207603,-0.950094669207603,4.14647688636067,17.1932705691233,0.0581622906461939,0.0025963646544461
"comp_mm",90,-1.42827350900065,-1.03059728675867,-1.03059728675867,4.23579368654282,17.941948154956,0.0557353076356859,0.00248802413285702
"comp_mm",91,-1.84898588711867,-1.34521635736421,-1.34521635736421,4.0445534378726,16.3584125118071,0.0611306261703712,0.00272887115224537
"comp_mm",94,-1.26075992881768,-0.905326508782674,-0.905326508782674,4.14576949229468,17.1874046832413,0.0581821408426519,0.00259725076721598
"comp_mm",95,-1.5681118742176,-1.135171857862,-1.135171857862,4.02081996291602,16.166993174184,0.0618544208700994,0.00276118134764124
"comp_mm",96,-1.34327547315365,-0.967033663646111,-0.967033663646111,4.12096999292968,16.9823936826268,0.0588845140849025,0.00262860470875005
"comp_mm",97,-1.41908992349093,-1.02372957549517,-1.02372957549517,4.25531403035373,18.1076974969253,0.0552251328568859,0.00246524993073139
"comp_mm",98,-1.4538165707716,-1.04969901699714,-1.04969901699714,4.22370031698563,17.8396443677045,0.0560549290887391,0.00250229203452131
"comp_mm",99,-1.38962389296557,-1.00169415267306,-1.00169415267306,4.35609688410621,18.9755800637198,0.052699311253833,0.00235249725437111
"comp_mm",10,-1.19489191298361,-0.856068785449101,-0.856068785449101,4.43983471574735,19.7121323031554,0.0507301789893085,0.00226459519008273
"comp_mm",100,-1.55860232559219,-1.12806038335824,-1.12806038335824,4.18129949884045,17.4832654990034,0.0571975527144516,0.00255329875317312
"comp_mm",101,1.78303483417101,1.37089812651174,1.37089812651174,4.2071203921924,17.6998619944011,0.056497615648999,0.00252205356257131
"comp_mm",103,0.609049355621643,0.49296289242648,0.49296289242648,4.56122022959667,20.8047299828819,0.0480659927248659,0.00214566591523801
"comp_mm",11,-1.4256830726761,-1.02866009472134,-1.02866009472134,4.4132114706192,19.4764354844049,0.0513440973735013,0.0022920005067531
"comp_mm",110,0.400358657151495,0.336898851975828,0.336898851975828,4.75659947989945,22.6252386121797,0.0441984288935488,0.00197301786580802
"comp_mm",115,0.632922847382657,0.510816077121351,0.510816077121351,4.61381544076111,21.2872929214056,0.0469763818110682,0.00209702568404608
"comp_mm",118,0.377870126292628,0.320081375129173,0.320081375129173,4.56041384210984,20.797374411307,0.0480829926039281,0.00214642478983935
"comp_mm",12,-1.23631230613748,-0.887043974856368,-0.887043974856368,4.43679746933316,19.6851717838811,0.0507996582899435,0.00226769674606308
"comp_mm",122,-1.12998662871461,-0.807531016473896,-0.807531016473896,4.16657618245404,17.3603570841933,0.0576025017890045,0.00257137567986116
"comp_mm",124,-1.38743393375499,-1.0000564472778,-1.0000564472778,4.35718263698107,18.9850405320093,0.0526730505691559,0.00235132497740712
