"individuo","cluster","entropia","umap1","umap2","familia","cruzamento","IR_comercial","IR_res_sc","IR_final","P_severo_media","var_pred_medio","P_pareto"
"240",1,0,-7.90405505581906,-4.08934801001298,1,"293 x 355",0.223174674596216,0,0.332299394258477,NA,58.612577118191,NA
"29",3,0,11.9146242769141,-8.00314205069291,2,"501 x 355",-0.311755814492088,-0.42603801313085,-0.732175431252523,0.0573354472575569,59.3841766216109,0.042
"3",1,0,-8.4945930807214,-2.90912502188432,1,"293 x 355",0.176480090558238,0.928304329650846,0.743506098801655,0.0480437877668558,56.1855548660915,0.082
"32",3,0,12.1954451234717,-7.39304511923539,2,"501 x 355",-0.828126583544636,0.714582989609338,-1.14232923927185,0.0573354472575569,59.3999865014301,0.04
"34",3,0,11.6767168672461,-8.03883521933305,2,"501 x 355",-0.313826393504385,0.714582989609338,-0.202470724811545,0.0573354472575569,57.8067773320058,0.096
"4",1,0,-9.66078895016721,-3.41741865057694,1,"293 x 355",0.258234699354321,0.928304329650846,0.945085545127763,0.0480437877668558,55.1789661082592,0.152
"43",2,0,6.86158615664432,19.5280402384306,3,"516 x 355",0.0511148639791412,-1.78706861423231,-0.508282695873936,0.116507043783214,56.2413405444533,0.07
"51",2,0,7.19463306979129,19.6886084757353,3,"516 x 355",-0.0270715183434391,-1.60916691238624,-0.838083490916952,0.116507043783214,61.8155829839259,0.048
"53",2,0,7.28281742648074,19.3135703287627,3,"516 x 355",-0.0550992233992546,-1.96497031607839,-1.00694903273106,0.116507043783214,61.307459521627,0.042
"55",2,0,6.72383719996402,19.7150614939238,3,"516 x 355",0.0766379718823902,-2.57188621328036,-0.898121567696978,0.116507043783214,58.9930754718388,0.044
"61",3,0,12.2367511423011,-8.41062610525834,2,"501 x 355",-0.340290769104875,0,-0.653535705829903,NA,60.2970482762061,NA
"62",3,0,12.4302859933753,-7.9506222524141,2,"501 x 355",-0.61060347743488,0.714582989609338,-0.719072067771842,0.0573354472575569,57.972560495481,0.044
"70",3,0,12.1402173669715,-8.30063503164994,2,"501 x 355",-0.552764992130858,0.714582989609338,-0.760762257003214,0.0573354472575569,61.3423730683689,0.058
"76",3,0,11.7903915079016,-7.98853652853715,2,"501 x 355",-0.49218389295574,-0.42603801313085,-0.846341014723543,0.0573354472575569,55.1563760634654,0.05
"81",1,0,-9.24875777646115,-4.36608856100785,1,"293 x 355",-0.095477641173415,0.395976905430661,-0.0204966371462236,0.049441638486329,58.746963761787,0.074
"82",1,0,-8.51733535214474,-3.01064746756303,1,"293 x 355",0.255792807768233,0.928304329650846,0.913329494164645,0.0480437877668558,55.9402738231881,0.168
"83",1,0,-8.42601722165158,-4.14756601233231,1,"293 x 355",0.359168648759754,0.928304329650846,0.997057871042527,0.0480437877668558,57.498736479589,0.202
"84",1,0,-8.88172667904904,-3.29897230047929,1,"293 x 355",0.13901896090842,0.928304329650846,0.580694374989801,0.0480437877668558,58.6193909213323,0.1
"86",1,0,-9.55505317135861,-3.37326448340165,1,"293 x 355",0.395857087601743,0.928304329650846,1.02537093768492,0.0480437877668558,58.0530712263851,0.182
"87",1,0,-8.70179122372678,-3.48279254812943,1,"293 x 355",0.28675747304154,0,0.382160237938958,NA,59.404248758754,NA
"88",1,0,-9.12433379574826,-4.10937087912309,1,"293 x 355",0.360283133021656,-0.496959396043055,0.426924021933595,0.0480437877668558,56.1145397568002,0.136
"89",1,0,-8.77566569729855,-3.41826026816117,1,"293 x 355",0.18339817911048,0.928304329650846,0.645515289567738,0.0480437877668558,58.6490582052018,0.114
"9",1,0,-9.03648513241818,-3.73449771780717,1,"293 x 355",0.510934084014439,0.928304329650846,1.24441064389637,0.0480437877668558,57.3345059198762,0.248
"90",1,0,-9.27355330868771,-3.32678954977738,1,"293 x 355",0.288565640297114,-0.105575651981699,0.402337156899512,0.0480437877668558,58.853444359066,0.096
"91",1,0,-9.57834571286252,-3.08684175390946,1,"293 x 355",0.300525550743369,0,0.405678578154341,NA,59.657182915598,NA
"94",1,0,-9.09475367947629,-3.62368123907792,1,"293 x 355",0.389249377678316,0.285808092079656,0.680861657593873,0.0480437877668558,59.8565139662205,0.174
"95",1,0,-9.47131102963498,-3.69231145758378,1,"293 x 355",0.261337373699104,0.428129453556513,0.723750046414254,0.0480437877668558,55.5064797754431,0.124
"96",1,0,-8.38807719632199,-4.81861465353715,1,"293 x 355",0.53196921570851,0.428129453556513,1.10230187105911,0.0480437877668558,56.6619119293865,0.224
"97",1,0,-7.97859900876095,-4.02335946936356,1,"293 x 355",0.565013716916111,0.428129453556513,1.2162366636648,0.0480437877668558,55.8120524897411,0.304
"98",1,0,-8.54134887143185,-4.92415826697099,1,"293 x 355",0.153956125075195,0.928304329650846,0.609225483285125,0.0480437877668558,58.3438573370495,0.086
"99",1,0,-8.8820728628259,-2.98092859167802,1,"293 x 355",0.052210628138475,0.928304329650846,0.274135586143355,0.0480437877668558,62.0404038407208,0.09
